         235466 function calls (231299 primitive calls) in 4.876 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:804(_bytes_from_bytecode)
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.3/lib/python3.3/_weakrefset.py:26(__exit__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:226(release)
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.3/lib/python3.3/_weakrefset.py:36(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:201(acquire)
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.3/lib/python3.3/_weakrefset.py:20(__enter__)
        9    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.3/lib/python3.3/sre_parse.py:185(__next)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.3/lib/python3.3/encodings/__init__.py:42(normalize_encoding)
       22    0.000    0.000    0.000    0.000 {built-in method hasattr}
       58    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       36    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.3/lib/python3.3/codecs.py:77(__new__)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.3/lib/python3.3/sre_parse.py:210(get)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1041(path_stats)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:181(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method any}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1459(__exit__)
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.3/lib/python3.3/_weakrefset.py:79(add)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.3/lib/python3.3/sre_parse.py:180(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method release_lock}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1261(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.3/lib/python3.3/sre_parse.py:142(getwidth)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1455(__enter__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:643(find_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1596(_handle_fromlist)
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.3/lib/python3.3/_weakrefset.py:16(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:61(_r_long)
